qid,orgLabel,orgDescription,type,typeLabel,country
Q28150,Vejle Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q29927,Slagelse Municipality,municipality in Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q30013,Nyborg Municipality,municipality in Region of Southern Denmark on the east coast of the island of Funen in central Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q164490,Herlev Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q183572,Vordingborg Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q204976,Kalundborg Municipality,"municipality of Region Zealand, Denmark",http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q221394,Hillerød Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q240262,Aarhus Municipality,municipality in the Central Denmark Region,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q257223,Ballerup Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q282496,Tårnby Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q300856,Aalborg Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q484018,Gladsaxe Municipality,municipality in Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q484038,Brøndby Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q493285,Fanø Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q493826,Lyngby-Taarbæk Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q493833,Albertslund Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q494827,Gribskov Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q498457,Læsø Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q499400,Høje-Taastrup Municipality,Høje-Taastrup Municipality,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q499469,Solrød Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q499479,Allerød Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q499896,Rebild Municipality,"municipality (Danish, kommune) in North Denmark Region in Denmark",http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q500058,Odder Municipality,"municipality in Region Midtjylland, Denmark",http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q500076,Gentofte Municipality,municipality in the Capital Region of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q502040,Ishøj Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q502168,Frederikshavn Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q502644,Lemvig Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q502770,Morsø Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q502962,Viborg Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q503045,Fredensborg Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q503097,Rødovre Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q503108,Skive Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q503116,Ringsted Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q503138,Furesø Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q503153,Stevns Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q503159,Holbæk Municipality,"municipality in Sjælland, eastern Denmark",http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q503222,Jammerbugt Municipality,Danish municipality,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q503227,Struer Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q503232,Frederikssund Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q504125,Copenhagen Municipality,municipality in the Capital Region of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q504664,Køge Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q504977,Greve Municipality,"municipality in Sjælland, eastern Denmark",http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q505000,Faxe Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q505113,Egedal Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q505130,Halsnæs Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q505151,Silkeborg Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q505156,Norddjurs Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q505369,Lejre Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q506109,Holstebro Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q506647,Langeland Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q506716,Naestved Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q506877,Herning Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q510810,Roskilde Municipality,"municipality in Sjælland, eastern Denmark",http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q510997,Guldborgsund Municipality,"municipality in Sjælland, eastern Denmark",http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q511214,Hjørring Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q511376,Brønderslev Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q511546,Helsingør Municipality,municipality in the Capital Region of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q511949,Rudersdal Municipality,municipality in the Capital Region of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q511975,Vesthimmerland Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q512064,Horsens Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q512457,Randers Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q512528,Mariagerfjord Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q512540,Hørsholm Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q512550,Favrskov Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
Q512562,Hvidovre Municipality,municipality of Denmark,http://www.wikidata.org/entity/Q2177636,municipality of Denmark,http://www.wikidata.org/entity/Q35
