qid,orgLabel,orgDescription,type,typeLabel,country
Q1769393,Norway's Ministry of Local Government and Modernisation,norsk departement,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q1769397,Norwegian Ministry of Health and Care Services,Norwegian ministry,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q1769416,Ministry of Finance,Norwegian ministry,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q1769421,Ministry of Culture of Norway,cultural ministry in Norway,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q1769425,Ministry of Justice and Public Security of Norway,"Norwegian government ministry in charge of justice, police and domestic intelligence",http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q1769642,Ministry of Climate and Environment,government ministry of Norway,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q1769657,Ministry of Education and Research of Norway,"Norwegian government ministry responsible for education and research,",http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q1769674,Ministry of Transport and Communications,norsk departement med ansvar for transport og kommunikasjon,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q2607880,Ministry of Petroleum and Energy of Norway,Norwegian ministry,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q2607887,Ministry of Children and Families,the Norwegian Ministry of Children and Families,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q2607906,Ministry of Agriculture and Food,agriculture ministry of Norway,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q2608014,Ministry of Labour and Social Affairs of Norway,norsk departement,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q2982622,Ministry of Foreign Affairs of Norway,Norway Ministry of Foreign Affairs,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q2982684,Ministry of Defence of Norway,Norwegian government ministry responsible for military and national defense matters,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q6516379,Office of the Prime Minister,office assisting the Norwegian Prime Minister in leading and coordinating the work of the Norwegian Government,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q18177740,"Ministry of Trade, Industry and Fisheries",norsk departement,http://www.wikidata.org/entity/Q109644271,ministry of Norway,http://www.wikidata.org/entity/Q20
Q2511037,"Embassy of Norway, Kiev",norsk utenriksstasjon i Ukraina,http://www.wikidata.org/entity/Q3917681,embassy,http://www.wikidata.org/entity/Q20
Q2841823,"Embassy of Norway, Paris",norsk utenriksstasjon i  Frankrike,http://www.wikidata.org/entity/Q3917681,embassy,http://www.wikidata.org/entity/Q20
Q2841829,Norwegian embassy in Stockholm,Norsk diplomatisk representasjon i Sverige,http://www.wikidata.org/entity/Q3917681,embassy,http://www.wikidata.org/entity/Q20
Q3433356,"Embassy of Norway, Moscow",norsk utenriksstasjon i Russland,http://www.wikidata.org/entity/Q3917681,embassy,http://www.wikidata.org/entity/Q20
Q5369813,"Embassy of Norway, Washington, D.C.",diplomatic mission of the Kingdom of Norway to the United States,http://www.wikidata.org/entity/Q3917681,embassy,http://www.wikidata.org/entity/Q20
Q11685574,"Embassy of Norway, Warsaw",norsk utenriksstasjon i Polen,http://www.wikidata.org/entity/Q3917681,embassy,http://www.wikidata.org/entity/Q20
Q11992092,"Embassy of Norway, Beijing","building in Beijing, China",http://www.wikidata.org/entity/Q3917681,embassy,http://www.wikidata.org/entity/Q20
Q14089919,"Embassy of Norway, Rome","building in Rome, Italy",http://www.wikidata.org/entity/Q3917681,embassy,http://www.wikidata.org/entity/Q20
Q15233677,Embassy of Norway in Helsinki,norsk utenriksstasjon i Finland,http://www.wikidata.org/entity/Q3917681,embassy,http://www.wikidata.org/entity/Q20
Q16891033,"Embassy of Norway, London",norsk utenriksstasjon i Storbritannia,http://www.wikidata.org/entity/Q3917681,embassy,http://www.wikidata.org/entity/Q20
